Species;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Vulpes.vulpes;2814;3757;2197;3254;1541;3189;3763;2296;0;2777;1802;2036;3439;33
Vulpes.lagopus;2716;3281;2285;3514;1094;2937;3398;1842;2777;0;1078;1478;2985;33
Felis.silvestris;1213;1857;787;1256;1115;1327;1664;1135;1802;1078;0;1143;1462;33
Homo_neand;1675;2020;1137;1745;1307;1860;1995;1624;2036;1478;1143;0;1956;33
Homo.sapiens;2869;3603;2263;3471;1459;3291;3858;2192;3439;2985;1462;1956;0;33
Ursus.spelaeus;0;3072;2343;2975;1134;2829;3112;1912;2734;2688;1182;1645;2792;34
Ursus.arctos;3072;0;2383;3591;1455;3517;4124;2381;3687;3253;1838;2016;3522;34
Panthera.spelaea;2343;2383;0;2498;718;2206;2530;1294;2148;2251;766;1121;2216;34
Panthera.leo;2975;3591;2498;;1186;3201;3868;2107;3119;3427;1179;1724;3340;34
Panthera.pardus;1134;1455;718;1186;0;1346;1399;1234;1491;1076;1097;1279;1416;34
Crocuta.crocuta;2829;3517;2206;3201;1346;0;3550;2069;3108;2898;1305;1820;3215;34
Canis.lupus;3112;4124;2530;3868;1399;3550;0;2300;3694;3373;1650;1985;3758;34
Meles.meles;1912;2381;1294;2107;1234;2069;2300;0;2257;1828;1134;1595;2132;34
Vulpes.vulpes;2734;3687;2148;3119;1491;3108;3694;2257;0;2732;1759;2034;3347;34
Vulpes.lagopus;2688;3253;2251;3427;1076;2898;3373;1828;2732;0;1088;1458;2966;34
Felis.silvestris;1182;1838;766;1179;1097;1305;1650;1134;1759;1088;0;1150;1423;34
Homo_neand;1645;2016;1121;1724;1279;1820;1985;1595;2034;1458;1150;0;1936;34
Homo.sapiens;2792;3522;2216;3340;1416;3215;3758;2132;3347;2966;1423;1936;0;34
Ursus.spelaeus;0;2941;2327;2897;1111;2729;3025;1758;2664;2499;1203;1624;2655;35
Ursus.arctos;2941;0;2356;3538;1441;3446;4062;2233;3597;3078;1850;2077;3420;35
Panthera.spelaea;2327;2356;0;2611;685;2176;2587;1199;2184;2217;815;1129;2159;35
Panthera.leo;2897;3538;2611;;1141;3156;3875;1955;3097;3331;1229;1732;3240;35
Panthera.pardus;1111;1441;685;1141;0;1282;1362;1207;1463;995;1138;1271;1370;35
Crocuta.crocuta;2729;3446;2176;3156;1282;0;3492;1920;3023;2732;1304;1819;3105;35
Canis.lupus;3025;4062;2587;3875;1362;3492;0;2155;3616;3238;1672;2013;3623;35
Meles.meles;1758;2233;1199;1955;1207;1920;2155;0;2092;1600;1095;1610;2006;35
Vulpes.vulpes;2664;3597;2184;3097;1463;3023;3616;2092;0;2636;1755;2062;3239;35
Vulpes.lagopus;2499;3078;2217;3331;995;2732;3238;1600;2636;0;1070;1409;2778;35
Felis.silvestris;1203;1850;815;1229;1138;1304;1672;1095;1755;1070;0;1221;1423;35
Homo_neand;1624;2077;1129;1732;1271;1819;2013;1610;2062;1409;1221;0;1957;35
Homo.sapiens;2655;3420;2159;3240;1370;3105;3623;2006;3239;2778;1423;1957;0;35
Ursus.spelaeus;0;2924;2347;2887;1105;2724;3015;1747;2672;2439;1230;1618;2642;36
Ursus.arctos;2924;0;2373;3509;1402;3417;3998;2216;3572;3001;1849;2072;3373;36
Panthera.spelaea;2347;2373;0;2634;693;2187;2611;1210;2226;2195;843;1150;2190;36
Panthera.leo;2887;3509;2634;;1122;3119;3831;1924;3093;3232;1223;1717;3182;36
Panthera.pardus;1105;1402;693;1122;0;1271;1334;1177;1427;933;1126;1243;1336;36
Crocuta.crocuta;2724;3417;2187;3119;1271;0;3463;1908;3028;2649;1328;1816;3053;36
Canis.lupus;3015;3998;2611;3831;1334;3463;0;2127;3597;3160;1645;1999;3575;36
Meles.meles;1747;2216;1210;1924;1177;1908;2127;0;2076;1537;1080;1604;1984;36
Vulpes.vulpes;2672;3572;2226;3093;1427;3028;3597;2076;0;2595;1748;2066;3217;36
Vulpes.lagopus;2439;3001;2195;3232;933;2649;3160;1537;2595;0;1041;1350;2689;36
Felis.silvestris;1230;1849;843;1223;1126;1328;1645;1080;1748;1041;0;1243;1409;36
Homo_neand;1618;2072;1150;1717;1243;1816;1999;1604;2066;1350;1243;0;1957;36
Homo.sapiens;2642;3373;2190;3182;1336;3053;3575;1984;3217;2689;1409;1957;0;36
Ursus.spelaeus;0;2807;2424;2823;1038;2634;2966;1595;2618;2251;1276;1580;2550;37
Ursus.arctos;2807;0;2434;3439;1378;3427;3923;2070;3475;2786;1907;2080;3300;37
Panthera.spelaea;2424;2434;0;2797;675;2259;2746;1174;2298;2172;938;1232;2218;37
Panthera.leo;2823;3439;2797;;1014;3056;3834;1767;3040;3047;1269;1703;3092;37
Panthera.pardus;1038;1378;675;1014;0;1258;1285;1091;1359;793;1201;1216;1307;37
Crocuta.crocuta;2634;3427;2259;3056;1258;0;3412;1790;2984;2476;1422;1827;3003;37
Canis.lupus;2966;3923;2746;3834;1285;3412;0;1992;3528;2945;1718;2034;3488;37
Meles.meles;1595;2070;1174;1767;1091;1790;1992;0;1912;1316;1066;1545;1876;37
Vulpes.vulpes;2618;3475;2298;3040;1359;2984;3528;1912;0;2385;1771;2051;3141;37
Vulpes.lagopus;2251;2786;2172;3047;793;2476;2945;1316;2385;0;982;1248;2441;37
Felis.silvestris;1276;1907;938;1269;1201;1422;1718;1066;1771;982;0;1317;1483;37
Homo_neand;1580;2080;1232;1703;1216;1827;2034;1545;2051;1248;1317;0;1954;37
Homo.sapiens;2550;3300;2218;3092;1307;3003;3488;1876;3141;2441;1483;1954;0;37
Ursus.spelaeus;0;2749;2476;2802;1015;2640;2941;1511;2570;1988;1384;1649;2458;38
Ursus.arctos;2749;0;2529;3383;1459;3467;4069;1998;3476;2465;2121;2232;3338;38
Panthera.spelaea;2476;2529;0;2968;670;2347;2848;1150;2328;1944;1082;1369;2198;38
Panthera.leo;2802;3383;2968;;995;3012;3828;1639;2994;2753;1409;1806;2963;38
Panthera.pardus;1015;1459;670;995;0;1292;1361;1084;1437;652;1313;1251;1346;38
Crocuta.crocuta;2640;3467;2347;3012;1292;0;3518;1728;3004;2214;1599;1943;3012;38
Canis.lupus;2941;4069;2848;3828;1361;3518;0;1946;3606;2642;1930;2267;3508;38
Meles.meles;1511;1998;1150;1639;1084;1728;1946;0;1837;1109;1150;1562;1840;38
Vulpes.vulpes;2570;3476;2328;2994;1437;3004;3606;1837;0;2124;1915;2241;3140;38
Vulpes.lagopus;1988;2465;1944;2753;652;2214;2642;1109;2124;0;930;1202;2176;38
Felis.silvestris;1384;2121;1082;1409;1313;1599;1930;1150;1915;930;0;1514;1643;38
Homo_neand;1649;2232;1369;1806;1251;1943;2267;1562;2241;1202;1514;0;2075;38
Homo.sapiens;2458;3338;2198;2963;1346;3012;3508;1840;3140;2176;1643;2075;0;38
Ursus.spelaeus;0;2935;2488;2931;1113;2787;3091;1691;2755;2315;1364;1714;2689;39
Ursus.arctos;2935;0;2574;3608;1514;3602;4223;2228;3768;2884;2061;2303;3599;39
Panthera.spelaea;2488;2574;0;2939;712;2385;2894;1257;2426;2214;998;1334;2347;39
Panthera.leo;2931;3608;2939;;1105;3200;4046;1892;3240;3149;1393;1869;3309;39
Panthera.pardus;1113;1514;712;1105;0;1382;1434;1191;1555;824;1277;1324;1434;39
Crocuta.crocuta;2787;3602;2385;3200;1382;0;3634;1952;3188;2548;1553;2035;3222;39
Canis.lupus;3091;4223;2894;4046;1434;3634;0;2173;3817;3071;1914;2261;3790;39
Meles.meles;1691;2228;1257;1892;1191;1952;2173;0;2096;1418;1174;1696;2071;39
Vulpes.vulpes;2755;3768;2426;3240;1555;3188;3817;2096;0;2520;2028;2298;3448;39
Vulpes.lagopus;2315;2884;2214;3149;824;2548;3071;1418;2520;0;1041;1372;2586;39
Felis.silvestris;1364;2061;998;1393;1277;1553;1914;1174;2028;1041;0;1453;1647;39
Homo_neand;1714;2303;1334;1869;1324;2035;2261;1696;2298;1372;1453;0;2191;39
Homo.sapiens;2689;3599;2347;3309;1434;3222;3790;2071;3448;2586;1647;2191;0;39
Ursus.spelaeus;0;3112;2460;3083;1171;2905;3229;1896;2899;2610;1330;1791;2849;40
Ursus.arctos;3112;0;2560;3858;1624;3769;4489;2489;4104;3306;2146;2393;3870;40
Panthera.spelaea;2460;2560;0;2781;703;2353;2793;1313;2380;2309;884;1275;2336;40
Panthera.leo;3083;3858;2781;;1258;3385;4220;2160;3412;3503;1426;1979;3548;40
Panthera.pardus;1171;1624;703;1258;0;1456;1547;1313;1659;1017;1273;1402;1558;40
Crocuta.crocuta;2905;3769;2353;3385;1456;0;3780;2189;3388;2883;1567;2097;3421;40
Canis.lupus;3229;4489;2793;4220;1547;3780;0;2418;4060;3481;1969;2323;4081;40
Meles.meles;1896;2489;1313;2160;1313;2189;2418;0;2358;1797;1242;1830;2284;40
Vulpes.vulpes;2899;4104;2380;3412;1659;3388;4060;2358;0;2870;2111;2391;3720;40
Vulpes.lagopus;2610;3306;2309;3503;1017;2883;3481;1797;2870;0;1162;1562;2988;40
Felis.silvestris;1330;2146;884;1426;1273;1567;1969;1242;2111;1162;0;1414;1706;40
Homo_neand;1791;2393;1275;1979;1402;2097;2323;1830;2391;1562;1414;0;2277;40
Homo.sapiens;2849;3870;2336;3548;1558;3421;4081;2284;3720;2988;1706;2277;0;40
Ursus.spelaeus;0;2990;2561;3012;1103;2849;3165;1736;2836;2314;1446;1800;2760;41
Ursus.arctos;2990;0;2665;3730;1558;3751;4416;2319;3981;2877;2256;2430;3767;41
Panthera.spelaea;2561;2665;0;3062;710;2472;3007;1310;2525;2227;1079;1428;2432;41
Panthera.leo;3012;3730;3062;;1120;3358;4209;1975;3357;3150;1501;2025;3444;41
Panthera.pardus;1103;1558;710;1120;0;1407;1477;1203;1583;799;1334;1345;1470;41
Crocuta.crocuta;2849;3751;2472;3358;1407;0;3850;2062;3367;2578;1717;2206;3390;41
Canis.lupus;3165;4416;3007;4209;1477;3850;0;2293;4013;3054;2057;2443;4019;41
Meles.meles;1736;2319;1310;1975;1203;2062;2293;0;2203;1477;1250;1806;2200;41
Vulpes.vulpes;2836;3981;2525;3357;1583;3367;4013;2203;0;2532;2191;2474;3623;41
Vulpes.lagopus;2314;2877;2227;3150;799;2578;3054;1477;2532;0;1065;1455;2608;41
Felis.silvestris;1446;2256;1079;1501;1334;1717;2057;1250;2191;1065;0;1582;1801;41
Homo_neand;1800;2430;1428;2025;1345;2206;2443;1806;2474;1455;1582;0;2388;41
Homo.sapiens;2760;3767;2432;3444;1470;3390;4019;2200;3623;2608;1801;2388;0;41
Ursus.spelaeus;0;3054;2579;3076;1127;2889;3205;1760;2884;2324;1483;1829;2827;42
Ursus.arctos;3054;0;2719;3837;1602;3826;4506;2372;4097;2895;2331;2517;3855;42
Panthera.spelaea;2579;2719;0;3123;718;2509;3054;1322;2574;2219;1109;1478;2496;42
Panthera.leo;3076;3837;3123;;1161;3415;4302;2028;3440;3153;1566;2095;3535;42
Panthera.pardus;1127;1602;718;1161;0;1439;1511;1244;1627;816;1373;1378;1513;42
Crocuta.crocuta;2889;3826;2509;3415;1439;0;3901;2108;3456;2587;1781;2278;3472;42
Canis.lupus;3205;4506;3054;4302;1511;3901;0;2346;4098;3070;2101;2525;4071;42
Meles.meles;1760;2372;1322;2028;1244;2108;2346;0;2269;1517;1307;1847;2255;42
Vulpes.vulpes;2884;4097;2574;3440;1627;3456;4098;2269;0;2575;2266;2557;3695;42
Vulpes.lagopus;2324;2895;2219;3153;816;2587;3070;1517;2575;0;1097;1504;2628;42
Felis.silvestris;1483;2331;1109;1566;1373;1781;2101;1307;2266;1097;0;1640;1843;42
Homo_neand;1829;2517;1478;2095;1378;2278;2525;1847;2557;1504;1640;0;2460;42
Homo.sapiens;2827;3855;2496;3535;1513;3472;4071;2255;3695;2628;1843;2460;0;42
Ursus.spelaeus;0;3037;2613;3068;1103;2931;3217;1710;2893;2099;1566;1860;2791;43
Ursus.arctos;3037;0;2737;3768;1595;3810;4529;2274;4029;2552;2505;2575;3808;43
Panthera.spelaea;2613;2737;0;3243;741;2567;3120;1303;2598;2019;1232;1560;2503;43
Panthera.leo;3068;3768;3243;;1137;3372;4249;1929;3415;2840;1642;2152;3428;43
Panthera.pardus;1103;1595;741;1137;0;1423;1517;1176;1629;678;1421;1411;1499;43
Crocuta.crocuta;2931;3810;2567;3372;1423;0;3941;2026;3459;2321;1876;2342;3397;43
Canis.lupus;3217;4529;3120;4249;1517;3941;0;2259;4111;2719;2210;2630;4006;43
Meles.meles;1710;2274;1303;1929;1176;2026;2259;0;2170;1287;1347;1807;2173;43
Vulpes.vulpes;2893;4029;2598;3415;1629;3459;4111;2170;0;2264;2313;2649;3659;43
Vulpes.lagopus;2099;2552;2019;2840;678;2321;2719;1287;2264;0;983;1389;2316;43
Felis.silvestris;1566;2505;1232;1642;1421;1876;2210;1347;2313;983;0;1770;1955;43
Homo_neand;1860;2575;1560;2152;1411;2342;2630;1807;2649;1389;1770;0;2527;43
Homo.sapiens;2791;3808;2503;3428;1499;3397;4006;2173;3659;2316;1955;2527;0;43
Ursus.spelaeus;0;3075;2655;3113;1127;2953;3259;1756;2958;2109;1612;1912;2856;44
Ursus.arctos;3075;0;2790;3838;1629;3883;4599;2323;4108;2569;2558;2631;3919;44
Panthera.spelaea;2655;2790;0;3306;776;2624;3191;1352;2659;2015;1302;1617;2568;44
Panthera.leo;3113;3838;3306;;1169;3450;4318;1993;3495;2873;1699;2224;3503;44
Panthera.pardus;1127;1629;776;1169;0;1469;1553;1231;1665;694;1482;1447;1565;44
Crocuta.crocuta;2953;3883;2624;3450;1469;0;4034;2080;3540;2338;1953;2412;3510;44
Canis.lupus;3259;4599;3191;4318;1553;4034;0;2327;4185;2728;2267;2722;4092;44
Meles.meles;1756;2323;1352;1993;1231;2080;2327;0;2247;1298;1415;1889;2250;44
Vulpes.vulpes;2958;4108;2659;3495;1665;3540;4185;2247;0;2294;2381;2731;3763;44
Vulpes.lagopus;2109;2569;2015;2873;694;2338;2728;1298;2294;0;1003;1420;2330;44
Felis.silvestris;1612;2558;1302;1699;1482;1953;2267;1415;2381;1003;0;1821;2055;44
Homo_neand;1912;2631;1617;2224;1447;2412;2722;1889;2731;1420;1821;0;2617;44
Homo.sapiens;2856;3919;2568;3503;1565;3510;4092;2250;3763;2330;2055;2617;0;44
Ursus.spelaeus;0;2959;2679;2943;1099;2852;3161;1629;2849;1615;1674;1965;2654;45
Ursus.arctos;2959;0;2880;3647;1574;3850;4548;2265;3894;1993;2722;2787;3722;45
Panthera.spelaea;2679;2880;0;3351;812;2637;3239;1381;2677;1595;1449;1761;2528;45
Panthera.leo;2943;3647;3351;;1061;3194;4004;1835;3232;2157;1669;2202;3141;45
Panthera.pardus;1099;1574;812;1061;0;1434;1514;1137;1582;455;1498;1473;1502;45
Crocuta.crocuta;2852;3850;2637;3194;1434;0;3935;2005;3406;1812;2055;2507;3350;45
Canis.lupus;3161;4548;3239;4004;1514;3935;0;2242;4014;2055;2358;2872;3852;45
Meles.meles;1629;2265;1381;1835;1137;2005;2242;0;2087;950;1426;1871;2149;45
Vulpes.vulpes;2849;3894;2677;3232;1582;3406;4014;2087;0;1688;2353;2815;3493;45
Vulpes.lagopus;1615;1993;1595;2157;455;1812;2055;950;1688;0;672;1126;1706;45
Felis.silvestris;1674;2722;1449;1669;1498;2055;2358;1426;2353;672;0;1967;2073;45
Homo_neand;1965;2787;1761;2202;1473;2507;2872;1871;2815;1126;1967;0;2658;45
Homo.sapiens;2654;3722;2528;3141;1502;3350;3852;2149;3493;1706;2073;2658;0;45
Ursus.spelaeus;0;2727;2624;2672;1017;2605;2927;1465;2667;918;1662;1904;2336;46
Ursus.arctos;2727;0;2861;3142;1500;3702;4200;2082;3516;1204;2798;2766;3416;46
Panthera.spelaea;2624;2861;0;3221;865;2538;3184;1395;2698;790;1696;1902;2374;46
Panthera.leo;2672;3142;3221;;914;2792;3484;1613;2868;1192;1609;2045;2641;46
Panthera.pardus;1017;1500;865;914;0;1437;1429;1000;1440;292;1433;1419;1374;46
Crocuta.crocuta;2605;3702;2538;2792;1437;0;3657;1866;3193;1075;2140;2546;3137;46
Canis.lupus;2927;4200;3184;3484;1429;3657;0;2035;3754;1208;2427;2845;3442;46
Meles.meles;1465;2082;1395;1613;1000;1866;2035;0;1868;652;1398;1705;1935;46
Vulpes.vulpes;2667;3516;2698;2868;1440;3193;3754;1868;0;1021;2254;2745;3041;46
Vulpes.lagopus;918;1204;790;1192;292;1075;1208;652;1021;0;405;777;930;46
Felis.silvestris;1662;2798;1696;1609;1433;2140;2427;1398;2254;405;0;2048;2093;46
Homo_neand;1904;2766;1902;2045;1419;2546;2845;1705;2745;777;2048;0;2501;46
Homo.sapiens;2336;3416;2374;2641;1374;3137;3442;1935;3041;930;2093;2501;0;46
Ursus.spelaeus;0;3007;2718;2967;1113;2876;3187;1706;2880;1601;1718;2015;2700;47
Ursus.arctos;3007;0;2945;3653;1590;3931;4589;2325;3868;1964;2726;2859;3831;47
Panthera.spelaea;2718;2945;0;3383;834;2666;3267;1448;2718;1584;1509;1825;2580;47
Panthera.leo;2967;3653;3383;;1055;3208;3985;1896;3198;2176;1675;2239;3144;47
Panthera.pardus;1113;1590;834;1055;0;1481;1530;1181;1576;435;1498;1489;1533;47
Crocuta.crocuta;2876;3931;2666;3208;1481;0;4016;2087;3437;1806;2132;2620;3448;47
Canis.lupus;3187;4589;3267;3985;1530;4016;0;2311;4000;2038;2403;2967;3938;47
Meles.meles;1706;2325;1448;1896;1181;2087;2311;0;2126;993;1489;1919;2212;47
Vulpes.vulpes;2880;3868;2718;3198;1576;3437;4000;2126;0;1649;2342;2853;3513;47
Vulpes.lagopus;1601;1964;1584;2176;435;1806;2038;993;1649;0;652;1164;1714;47
Felis.silvestris;1718;2726;1509;1675;1498;2132;2403;1489;2342;652;0;2019;2161;47
Homo_neand;2015;2859;1825;2239;1489;2620;2967;1919;2853;1164;2019;0;2735;47
Homo.sapiens;2700;3831;2580;3144;1533;3448;3938;2212;3513;1714;2161;2735;0;47
Ursus.spelaeus;0;3077;2730;3050;1112;2942;3237;1800;2927;1816;1700;2033;2816;48
Ursus.arctos;3077;0;2953;3782;1611;4044;4677;2466;3997;2223;2677;2865;3940;48
Panthera.spelaea;2730;2953;0;3376;808;2694;3250;1463;2678;1790;1458;1810;2613;48
Panthera.leo;3050;3782;3376;;1076;3348;4123;2023;3299;2500;1698;2297;3306;48
Panthera.pardus;1112;1611;808;1076;0;1481;1531;1239;1605;483;1490;1463;1545;48
Crocuta.crocuta;2942;4044;2694;3348;1481;0;4085;2193;3519;2010;2123;2627;3535;48
Canis.lupus;3237;4677;3250;4123;1531;4085;0;2444;4053;2316;2358;2931;4032;48
Meles.meles;1800;2466;1463;2023;1239;2193;2444;0;2261;1110;1531;1997;2332;48
Vulpes.vulpes;2927;3997;2678;3299;1605;3519;4053;2261;0;1885;2363;2852;3646;48
